"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"894","Can't wait #dunkirk Ì†ΩÌ∂§ @ Dunkirk, France https://t.co/Gd1aXFM68m",FALSE,0,NA,2017-07-24 10:32:23,FALSE,NA,"889433070033657856",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NSorcinelli",0,FALSE,FALSE,"2.36667","51.05"
"895","RT @2010LeeHurst: If you know nothing about the true story behind the film Dunkirk, chances are you probably go to University.",FALSE,0,NA,2017-07-24 10:32:22,FALSE,NA,"889433066321698816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","metal_maiden_uk",690,TRUE,FALSE,NA,NA
"896","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:32:20,FALSE,NA,"889433058289438721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cupcake__emily",133765,TRUE,FALSE,NA,NA
"897","RT @Variety: #WonderWoman is officially the highest grossing movie of the summer with $389 million domestically https://t.co/Zm472dOqca htt‚Ä¶",FALSE,0,NA,2017-07-24 10:32:18,FALSE,NA,"889433048873398272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PoliSci_JpR",82,TRUE,FALSE,NA,NA
"898","RT @rossR5: Dunkirk is, quite possibly, the most beautiful movie ive ever seen.",FALSE,0,NA,2017-07-24 10:32:18,FALSE,NA,"889433047359213569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fanny_delemarle",3367,TRUE,FALSE,NA,NA
"899","RT @influentialhes: fionn !!!! deserves !!!!! more !!!!! praise !!!!!! he was SO good in dunkirk but hardly anyone has commended him in rev‚Ä¶",FALSE,0,NA,2017-07-24 10:32:16,FALSE,NA,"889433040832925697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","turquisebluelou",623,TRUE,FALSE,NA,NA
"900","RT @miakhalifa: I love Chris Nolan more than I love my dogs, but Dunkirk sucked more dick than I did in 2014",FALSE,0,NA,2017-07-24 10:32:14,FALSE,NA,"889433033312522245",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ma7md_ahmed",4173,TRUE,FALSE,NA,NA
"901","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:32:14,FALSE,NA,"889433030552694784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SsjAndromeda",2289,TRUE,FALSE,NA,NA
"902","Christopher Nolan has a complicated history with the Oscars ‚Äî 'Dunkirk' might end that https://t.co/hxaspriHms",FALSE,0,NA,2017-07-24 10:32:12,FALSE,NA,"889433025272057856",NA,"<a href=""http://xyblu.com/ke"" rel=""nofollow"">d√©j√†vui</a>","syqau",0,FALSE,FALSE,NA,NA
"903","RT @GeraldoRivera: Saw #Dunkirk last night. It's one of the great war movies ever.",FALSE,0,NA,2017-07-24 10:32:11,FALSE,NA,"889433019681050624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrSue19380",20,TRUE,FALSE,NA,NA
"904","RT @Real_Amy_Adams: *enter the cinema*
*Dunkirk start*
*Harry breathes*

Me https://t.co/JnkRBfJllc",FALSE,0,NA,2017-07-24 10:32:08,FALSE,NA,"889433008637456384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amirahamada145",166,TRUE,FALSE,NA,NA
"905","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:32:08,FALSE,NA,"889433007345590272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salimaFabregas",133765,TRUE,FALSE,NA,NA
"906","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:32:05,FALSE,NA,"889432995295133696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","officiallyjassi",2289,TRUE,FALSE,NA,NA
"907","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:32:05,FALSE,NA,"889432995152658432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KelseyElder",2289,TRUE,FALSE,NA,NA
"908","@GnomeChamsky watched Dunkirk last night. What were your thoughts/feels?",FALSE,0,"GnomeChamsky",2017-07-24 10:32:04,FALSE,NA,"889432992334180353","25612081","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_theartofb_",0,FALSE,FALSE,NA,NA
"909","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:32:03,FALSE,NA,"889432986869002241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nandalindsay",2289,TRUE,FALSE,NA,NA
"910","RT @IndyArts: Dunkirk veteran in tears at film premiere: 'It was just like I was there again' https://t.co/yzMO4LhG2G https://t.co/SoLmb0R2‚Ä¶",FALSE,0,NA,2017-07-24 10:32:03,FALSE,NA,"889432985509912577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FahmiiAfiiq",69,TRUE,FALSE,NA,NA
"911","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:32:00,FALSE,NA,"889432974290059265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thatarrows",133765,TRUE,FALSE,NA,NA
"912","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:31:59,FALSE,NA,"889432968355344385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marianarpi13",133765,TRUE,FALSE,NA,NA
"913","RT @RestingPlatypus: Dunkirk is a beautiful film. I encourage folks to see it.",FALSE,0,NA,2017-07-24 10:31:57,FALSE,NA,"889432961829003267",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarfatisvoice",2099,TRUE,FALSE,NA,NA
"914","YALL IM ABOUT TO SEE DUNKIRK HOLY SHIT",FALSE,0,NA,2017-07-24 10:31:56,FALSE,NA,"889432957521473536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","passionIove",0,FALSE,FALSE,NA,NA
"915","RT @GeorgeBakhos1: FINAL 4 ( started with 64 )
#Mega #poll #war #battle #movies
#Dunkirk 
What is your fav from these 4 ?",FALSE,0,NA,2017-07-24 10:31:56,FALSE,NA,"889432957345120256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeorgeBakhos1",8,TRUE,FALSE,NA,NA
"916","RT @Emma_Not_Emily: Here's your real title: USA Today Complains About Movie  'Dunkirk' Being Historically Accurate https://t.co/oU37pmscPV",FALSE,0,NA,2017-07-24 10:31:54,FALSE,NA,"889432947266375681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrandonMWare",1633,TRUE,FALSE,NA,NA
"917","RT @CriticsChoice: Congratulations to the cast and crew of @dunkirkmovie. The film has received the #criticschoice seal of distinction. #du‚Ä¶",FALSE,0,NA,2017-07-24 10:31:52,FALSE,NA,"889432941272551425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moonshine_gods",2488,TRUE,FALSE,NA,NA
"918","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:31:52,FALSE,NA,"889432940190597121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1D_lockscreens",133765,TRUE,FALSE,NA,NA
"919","RT @rossR5: Dunkirk is, quite possibly, the most beautiful movie ive ever seen.",FALSE,0,NA,2017-07-24 10:31:50,FALSE,NA,"889432933492297728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miss_firedancer",3367,TRUE,FALSE,NA,NA
"920","RT @Real_Amy_Adams: honestly when you see dunkirk and see Harry' role you will stop using pics of him as sexual memes. That's disgusting",FALSE,0,NA,2017-07-24 10:31:50,FALSE,NA,"889432932108169216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amirahamada145",14,TRUE,FALSE,NA,NA
"921","RT @CriticsChoice: Congratulations to the cast and crew of @dunkirkmovie. The film has received the #criticschoice seal of distinction. #du‚Ä¶",FALSE,0,NA,2017-07-24 10:31:50,FALSE,NA,"889432931365773312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","larreh_vtrn",2488,TRUE,FALSE,NA,NA
"922","RT @IndyArts: Dunkirk veteran in tears at film premiere: 'It was just like I was there again' https://t.co/yzMO4LhG2G https://t.co/SoLmb0R2‚Ä¶",FALSE,0,NA,2017-07-24 10:31:49,FALSE,NA,"889432929692131328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ParmeSANDS",69,TRUE,FALSE,NA,NA
"923","RT @Harry_Styles: Honored to have been a part of this, I hope you love it. 
Dunkirk is out tomorrow. 
See it in IMAX. H https://t.co/ns9xix‚Ä¶",FALSE,0,NA,2017-07-24 10:31:49,FALSE,NA,"889432929394360320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","olcia_halota94",133765,TRUE,FALSE,NA,NA
"924","@AbiWilks @jamesbarty Think your point was wrong not misunderstood.  Nothing about Dunkirk suggests futility of war‚Ä¶ https://t.co/Yv421GLqZx",FALSE,0,"AbiWilks",2017-07-24 10:31:49,TRUE,"888883562396647424","889432927632838656","1628552390","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miw3663",0,FALSE,FALSE,NA,NA
"925","RT @spookperson: [at the movie ""dunkirk""]

*leaning over to my date and whispering as dunkirk first appears onscreen* that's dunkirk",FALSE,0,NA,2017-07-24 10:31:48,FALSE,NA,"889432924243841024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spinaret",39,TRUE,FALSE,NA,NA
"926","ok so i'm watching dunkirk again this week yay",FALSE,1,NA,2017-07-24 10:31:48,FALSE,NA,"889432924038103041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kiwisangeel",0,FALSE,FALSE,NA,NA
"927","RT @MarkSimoneNY: Idiotic US Today attacks 'Dunkirk' for ""a lack of diversity."" Who did they think fought in the  English and German armies?",FALSE,0,NA,2017-07-24 10:31:47,FALSE,NA,"889432921391734784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScottVAnderson3",176,TRUE,FALSE,NA,NA
"928","RT @ETCanada: Cillian Murphy talks #Oscar Buzz for @dunkirkmovie - see more on the film here &gt;&gt; https://t.co/5a2wsROOPT https://t.co/DZxB9Z‚Ä¶",FALSE,0,NA,2017-07-24 10:31:47,FALSE,NA,"889432917805551617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Starsuponhayes",14,TRUE,FALSE,NA,NA
"929","RT @IndyArts: Dunkirk veteran in tears at film premiere: 'It was just like I was there again' https://t.co/yzMO4LhG2G https://t.co/SoLmb0R2‚Ä¶",FALSE,0,NA,2017-07-24 10:31:46,FALSE,NA,"889432915460800513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alliaazrin",69,TRUE,FALSE,NA,NA
"930","Merci, @stbslam : 40,000 French troops protected perimeter of Dunkirk &amp; were then killed or captured. Nowhere in‚Ä¶ https://t.co/qqKD66bJ7x",FALSE,0,NA,2017-07-24 10:31:45,TRUE,NA,"889432912336179200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Briggs99",0,FALSE,FALSE,NA,NA
"931","RT @EveningStandard: Dunkirk storms the global box office with $106 million opening https://t.co/KobF9e6fsM",FALSE,0,NA,2017-07-24 10:31:44,FALSE,NA,"889432906497699840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsTheKel",10,TRUE,FALSE,NA,NA
"932","RT @supermorgy: 'Dunkirk' starts strong on first weekend https://t.co/Q1ntSyOg6C",FALSE,0,NA,2017-07-24 10:31:43,FALSE,NA,"889432902928388096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BielGrc",2289,TRUE,FALSE,NA,NA
